year,housing_type,computer_access_at_home
2000,private,78
2000,public,58
2001,private,81
2001,public,60
2002,private,87
2002,public,64
2003,private,93
2003,public,70
2004,private,90
2004,public,70
2005,private,93
2005,public,68
2006,private,92
2006,public,74
2007,private,94
2007,public,75
2008,private,94
2008,public,77
2009,private,94
2009,public,80
2010,private,95
2010,public,81
2011,private,96
2011,public,84
2012,private,98
2012,public,83
2013,private,96
2013,public,85
2014,private,96
2014,public,83
2015,private,97
2015,public,84
2016,private,97
2016,public,84
2017,private,96
2017,public,83
2018,private,97
2018,public,86
